prompt,completion
"Well, as I understand it right now, the vast majority of the money being put up would be public. Private investors might put up as little as 3 percent equity in some of these partnerships. The Treasury would add more equity from the TARP funds it got from Congress - you know, the $700 billion, which is now down to 300 billion after all the injections of capital into the banks. So the private investors don't have a lot of skin in the game. And the purchases of the assets would be further financed by these low-interest loans from the Fed or the FDIC. Those are likely to be called non-recourse loans, which means that the toxic assets lose money after they're purchased. The private investors would lose only the 3 percent of money they put down, or maybe 10 percent, if they invested that much, and the government would lose the rest. So the taxpayers are on the hook. But if the toxic assets rise in value, there's the prospect of big gains for private investors. Now, some people suggest the downside to taxpayers may be small because these toxic assets are undervalued right now and are unlikely to fall much further but have a bigger chance of increasing in value. We'll just have to see.",Will there be any congressional involvement?
"We're on the ballot in 11 states, and we have ballot access in another number of states. So we have a total ballot access either as a write-in or appearing on the ballot in 34 to 35 states. By the time we get to Election Day, it will be 43 to 45.","Before we let you go, as we mentioned, in a longer campaign, we get to know a little bit more about the candidates things like who they are as people, you know, what their families are all about. Can you just tell us a little bit about yourself on a personal level? Are you married? Are you partnered? Do you have kids? What do you like to listen to? What do you do when you're not working?"
"You know, it's such a fine balance, because what I like to do at first is assess their financial situation. If they have a family and they're pretty much short on cash and they don't have a big income, you know, if they're stirring at a contract from Lithuania or Italy, or wherever that is presenting yourself at $20,000 a month, I have them take a long look at that and say, are you aware of what you could possibly be risking? And more often than not, they always say to me, well, I feel like I belong, and just in my gut, and I want to take that chance. Believe it or not, a handful of my guys have, in fact, turned down big contracts, go on to the D-League, and have gone on to make the league and make good money.",Does play overseas come with the kind of ancillary income that a player can earn in the NBA - the endorsement contracts and commercial contracts and the like?
"They are known for a couple of different things. Bob Komer's particularly notable for his work on a grazing settlement between the Bureau of Land Management and a Wyoming rancher. And in that case, that was actually the subject of an Inspector General's report which cited Mr. Komer for pressuring rank and file employees to reach a settlement which was seen as favorable to the rancher in question. And then, Mark McEwen is known more for being a very fierce proponent of property rights and pushing for ranchers and other individuals to have their property rights recognized by the federal government.","These people will soon report to political appointees of the Obama administration. Would you expect them, based on past history of others, to salute smartly and run up the Hill, or wouldn't they be obstructionist from inside the career service?"
Good to talk to you. Thank you very much for having me tonight.,I know that some of your family members were killed in the war. What does this verdict mean to you?
"I think that argument is silly. The harder questions really relate to in addition to trying to negotiate to save some lives, was there more that might have been done to encourage others to flee to Romania, to avoid being ghettoized? Could lives, more lives, have been saved if more emphasis had been put on that? But I don't criticize Kastner for entering into negotiation in the hope of trying to save lives.","When you sort of look at all these cases, is there a way to figure out when to negotiate and when not to?"
It's still totally unreal when I think about it. It feels so weird to be able to just kind of buy things when I want them or need them.,What's the most outrageous thing you bought?
Thank you.,"We turn now to a developing story in Afghanistan. More than 100 people are reported dead from a Friday attack on an Afghan military base, making it the deadliest attack there since 2001. Taliban fighters disguised as Afghan military attacked the base as soldiers were observing Friday prayers at Camp Shaheen near Mazar-e-Sharif, the nation's third largest city. And since the attack, the death toll has risen steadily. To help us understand what this attack means in the years-long struggle to contain the insurgency in Afghanistan, we've reached Ahmed Rashid. He's a journalist and author of several books on Afghanistan, Pakistan and the Taliban. He joins us from Lahore, Pakistan. Ahmed, welcome back to the program. What makes this incident so significant?"
"Car buying, there's been a--it's hard to look at, you know, this momentary flash because of gasoline prices. SUV sales have gone down--I think it's about 15 percent over two years. It's been a fairly steady--I mean, I think it's more leveling off. People are leaving the bigger SUVs, going to crossovers, that sort of thing. It's been a leveling off. It's still going to be a significant part of our market, even though they're in some disfavor right now. Pickup trucks and SUVs and minivans are all called light trucks, and they're going to continue to make up almost half of all the vehicles sold in the country. What auto dealers, at least in New England, have told me is that they're not seeing so much people saying, `Get me out of this SUV, and get me into a Toyota Prius.' They're seeing, `Get me out of this big SUV, and get me into a small SUV,' such as the Ford Escape.",So they're downsizing just a little bit?
"Yeah, I think that--one of the things I think has happened is that there have been several different movements happening at the same time. But if you'd go onto a Google site and you tried to find--put down May Day or May 1st Immigrant Demonstration, you'll be referred to websites of groups that are, let's say, largely outside the mainstream. I mean, in other words, what you're really seeing, I think, is a battle between a sort of extremist nativist position on the one hand, andâ€¦",That would be the Minutemen and groups like that?
"The thing that's most likely is that the female actually ovulates over a fairly long period, so all of the embryos are actually at different stages of development. One of the things that's important is the male that mates with the female first has a big advantage, as far as having the embryo that reaches the size where it starts to kill and eat its siblings. And one thing that's very interesting about sand tigers in captivity, when mating is being observed the males actually form a dominance hierarchy. And the dominant male actually guards the female and prevents other males from mating with her. And that might be a strategy to actually ensure that he's the one, the dominant male is the one to fertilize those earliest eggs which are then going to become the cannibals.","Do you see this, this embryonic cannibalism in any other sharks or is it just the sand tiger sharks where this happens?"
Thank you.,It's said that you're supposed to help reshape the party's message for the working class. Why you?
"Good morning, Steve.","OK. So two Republicans, which we'll talk about, but also three Democrats are considered swing votes. Who are they?"
"Well, you know, Congress created that tax break early last year when foreclosures and short sales, they were just pounding down the housing prices. And, you know, very few people want to buy a house when they can see that the prices are still dropping. So Congress thought it really needed to do something to step in and help. And the idea here was that if taxpayers would just help make housing a little more affordable, young families could buy houses, and that would start to put a floor under prices. So, Realtors predicted that once the prices started to rise on starter homes, the whole market could stabilize and heal itself from the bottom up. And it helped a bit, but it's just not clear at this point that those gains are sustainable. After that tax credit expired at the end of April, the market crashed again. We saw new home sales plunge 33 percent in May, and that's very discouraging. Now, the companies that track real estate say the prices are starting to slide again in a lot of cities.","Well, can Congress create a new round of tax credits this fall?"
Right.,He seemed to have some great sense of humor about what he was doing up there. Or do I have that wrong?
"Well, it looks like the rest of the ocean. I mean, the surface of the ocean is disturbed by way of which, which reflect light. So satellites can see it. Only like spy planes and low-flying aircrafts can actually see down into the water. But some fishermen can spot these large agglomerations of debris that the ocean has knitted together. We've picked up one, weighed a couple hundred pounds. It had a toothbrush in it. Even though, it was mostly composed of net and tarps and stuff like that.",Is it mostly marine debris or what else do you see?
This is just a few months in that long path.,"They actually had turned the machine on for a test and had gotten some results, hadn't they, on this?"
"Well, you know, I reviewed for years myself and then I still do occasionally, and you can kind of get into the habit of destroying things. It's much more interesting and much more difficult to try and show why good things are good. You know, there's a thrill to kind of trying to destroy something, and David feels it.",Is that to create some thrill in his life?
Thanks for having me.,We've just heard Jason Beaubien report that progress is - is mixed. You were in Haiti within hours of the earthquake. You've been back a number of times. What's your impression?
Cool.,"You're faithful, very faithful to the song. Did you listen a lot to the originals again in order to do this album?"
"There'll be - well, it's about an 18-minute mile pace, which is a very slow run, but a pretty decent pace when you're walking, especially for 26 miles.",Have you allowed yourself to start thinking about Sunday night and how you might be celebrating - hopefully celebrating?
"â€¦including our colleagues in Malaysia and Singapore. We're getting rather close to Thailand. They're not sure quite how far it went. But this dispatch said things about the Thai foreign minister, questioning his sanity. It was really not the sort of material that you would want to see distributed that widely. The tradition was eventually brought to a halt in 2006 after a very funny valedictory dispatch from our ambassador to Rome, Sir Ivor Roberts.",What did he say?
"So what you might expect are some short-term disruptions. But long-term, these things tend to fix themselves surprisingly quickly.",The most recent huge natural disaster in Japan was the Kobe earthquake of 1995. What were the economic consequences of that?
"Well, that's a good question. They weren't teaching very much. They were exposing their students to a little bit of anatomical dissection and maybe a little bit of physiology lab. And some of the conditions that he found were truly atrocious. And his main criticisms were that they had very poor clinical education, very poor clinical facilities. And what Flexner wanted to do was to have students understand where the knowledge came from and how it was derived, not mainly to learn memorization of facts given in a lecture.","Dr. Brieger, you're associated with Johns Hopkins, one of the best medical schools in the world, obviously. Do you see on a daily basis the impact today of the Flexner Report?"
"Yes. I mean, I think we didn't really have a clear conception of what we would find. So most of the previous studies of recent selection in humans have focused on just a handful of genes where there was some prior biological expectation that these might be targets of selection. So one of these, for example, is the lactase gene that's responsible for metabolizing milk in some populations, including Europeans. And our approach is different, because it really allowed us to scan the whole genome in sort of an unbiased way and try to get a sense of what kinds of biological processes are evolving and how much evolution is going on over this very recent time scale.",Mm-hmm. And you found five different genes involved with skin pigmentation in Europeans?
"I was actually more irritated with myself. It was getting windy and a storm front was coming in. And so I was looking for somewhere to get out of the wind. And then I found a big pine tree and just started pulling in needles. And then I saw some willow trees, and so I started cutting branches and then basically just tried to cover up. I was wet from going in and out of streams so I stayed awake all night, as I did for the next four nights.","Mike, what were you surviving on? Did you have any food with you? Any water? What did you do?"
Thank you. Glad to be with you.,"Stanley Weintraub, before we get to the actual Christmas in Savannah, I want to start by asking about the march itself. In around the middle of November 1864, Sherman takes 62,000 of his soldiers, marches them through rural Georgia all the way to Savannah. It takes about a month. It became known as Sherman's march to the sea. What was the point of that march to the sea?"
We do not have enough attorneys. We need more.,Is there a story you can tell of a child that you've helped?
"Oh, they've got quite a few boats done got broke loose and went elsewhere. I don't see none (unintelligible) yet. But a lot of ropes got popped. And it was - I'm glad that that's all what happened around here, because it could be a lot worse. And it's not over yet. We're still experiencing a lot of water on the outside. You know, these levees are holding it back, but I don't trust the levees.","You know, when we talked this morning, you said you were going to try to go by your house. Did you get there?"
"Well, I think that's part of it and what John has said is that that's one of a lot of reasons why he left the paper. I think it would be a mistake to assume that John left in protest. John and I are very close. We talk probably more than we talk to each other's wives. And I can tell you, it's not the only reason he left. He left because he's been running newspapers--this is his third newspaper--he's been running newspapers for more than two decades, and I think he wanted to do something different. I feel that the two of us have spent--we've been partners for the last five years. I know all of the things we've assembled. I know what has to be protected. I don't think of it as much of a firestorm as other people do. Maybe I'm kidding myself, but that's not the way I see it.","Let me ask you, Dean. It's always interesting when African-Americans take the helm of something, particularly something as prestigious as this. And you being the person who will sit as the captain of this maiden voyage, how much pressure do you feel, if any, being the first African-American to head this post?"
"Well, it hasn't been that long ago that people - also high-level members of ISIS or the Islamic State had access to Turkey and were treated at Turkish hospitals. So we know, for example, of about one high-level ISIS fighter who was there just six months ago.","And as for the flow of material across the border, was it flowing freely? Were the Turks just letting it go through?"
"A lot of them come from West Africa, but they really come from across sub-Saharan Africa. We talked to people from Liberia, from Burkina Faso, from Senegal, from the Gambia. It really was a huge range of people from across West Africa.",What is Algeria saying about this?
"Hello, Alex. It's nice to be here.","Community Counts, this is a YouTube users group that follows YouTube political content, yes? And you're trying to have some influence on what happens with the questions in the debate tonight. What's your goal? What are you trying to do?"
Thanks for having me.,"Can you just describe what it's like in the first kind of minutes or hours after something like this? Like, what goes through your mind?"
"Remember; there have been news reports for a few days now that three Trump campaign advisers or aides met with an FBI asset in the course of the campaign. People close to the investigation say that was because the FBI didn't want word to get out that Trump or the Trump campaign was under investigation for possible collusion with Russians in the course of 2016. So as opposed to calling those aides in and interviewing them quite publicly or taking other steps, they sent an informant in to talk to those folks. Now, this is a counterintelligence investigation, not just a criminal one. And in counterintelligence investigations, the FBI and other government agencies often use these kinds of informants to go in and gather information secretly often to protect the privacy of people who are being investigated. And, Don, these require very high-level approvals at Justice and the FBI. They're not just something one guy can do.","OK. And there's some additional news today from the president's lawyer, Rudy Giuliani, about the timetable for special counsel Robert Mueller's investigation and a possible interview with the president. Just quickly, what do we know there?"
"Well, being a porter on Everest is probably the best job going ,if you're a Sherpa in the Khumbu region and you want to stay and work where you live. You can make between $2- and $6,000 in a climbing season. You know, this is in a country where the median income is still around $550 or $600 a year. So the guys who are strong enough and fit enough to do this work make enough money to support not only their own families, but much of their extended families.",But what happens to these families when high-altitude porters die on the mountain?
"Hi, Madeleine.","David, usually these cases are whether or not sperm donors have responsibilities to the children, i.e., whether or not they should pay child support. So how unusual is it to be the reverse, where the sperm donor actually wants to be a part of the child's life?"
"The other man, Majed Hameed--who worked for us and also for Al-Arabiya television, was detained--and it seems he was detained because sometime earlier there'd been some vague allegations made by unknown third parties. But again, we never had any specific information about why he seemed to have attracted some suspicion.",And they were picked up the end of last summer?
"Well, John, it comes in at about $300 billion over the five-year length of the farm bill - big chunk of change, lots of money.","But a lot of that goes to food stamps, doesn't it?"
"Well, that's been a serious issue raised by the mayor here. He feels that the money that he wants from the central government in Baghdad for reconstruction efforts has not flowed as freely as he had hoped. And if you drive around the city, you can see the evidence that mortars fell like rain here just a few months ago. There are many, many crumbled buildings, buildings that need to be rebuilt. The mayor says he's waiting for $33 million to come in that was promised to him by the Baghdad government that he has yet to see. So it's quite obvious that it's a city that seen a lot of bloodshed in the past, and hopefully what we've seen this weekend and early this week is not the start of a new trend here.","Given the sectarian violence that you have seen in the last few days, are U.S. forces responding differently than they have been?"
"That's right, yes, absolutely. It's a malignant form of cancer.","And in this kind of tumor, is there an operation to cutting it out? Is that an option?"
"No, I don't get that far. I type in Falun Gong at Yahoo.com and a little pop-up comes up saying, Alert, the document contains no data.",You don't even get the appearance of some information being turned up by the search?
"You expect a machine like this to have problems, you know, growing pains as you get it to work operationally.","Right. Question from Second Life from Rudy He asks, will it come back on line before power must be diverted to keep the cities there warm? Because it uses a lot of juice, doesn't it?"
"Yeah, we do. I think over the last 20 years we've taken in a huge number of people into the city. We have 50 different religions in the city. I mean, I'm sure that's the case of many other cities as well, but we've become a very diverse city, and that's enriched our culture.",What sort of things do Bristol or you going to be able to try and help offer these refugees from Syria?
"Some of these boats, in particular, are in bad shape. And some of the men, in particular, are in bad shape. They have running sores. They have bedbug outbreaks. And some people are very afraid of their captains.",What kind of fish are they catching? And who ultimately is buying it?
That's...,"...Ever since. So how serious a breach is this? I mean, how much damage might this do to the NSA as it's trying to continue doing its work?"
"Yeah. Twenty-five percent more, yes.",Tell us about the make up of this plane. Is it a metal skin or is it the composites we see on fighter planes now?
"Not yet. He says he plans to fight the ruling. SCA is based in Dallas, and it's gone to state district court in Dallas to ask that the arbitration award be turned into a final judgment. If that happens within the next 30 to 60 days, then SCA can collect the money. If he still refuses, the company can seize money from bank account, stocks, cash, jewelry, his vacation home in Hawaii even.",You mentioned Lance Armstrong plans to fight. Any comment from him or his attorneys?
"Ultimately, I think baby steps. One, just creating a coalition that is biblically based but also shares the compassion that Jesus displayed in the Scriptures, an individual who cares for the poor, who's concerned for the outcast and the marginalized but, at the same time, doesn't compromise his divinity in order to show compassion. I think what we often are asked to do is to make those things mutually exclusive.",Are you going to vote in November?
"Oh, absolutely. Interestingly enough, you know, two of the safest cities in the United States are San Diego and El Paso, which are both border towns. In the '90s, you know, it was kind of chaotic along the San Diego border. Significant progress was made and it's now one of the more secure border crossing points that we have. And you've seen, I think, a lot of this violence and this illegal activity now moving to Arizona. So there are certainly some things that could be learned and I think Arizona can gain some additional measures.",Do you think there's enough political motivation on Capitol Hill to address immigration reform anytime soon?
"Well, it's a good question. I mean, it does get to - are we giving people the kind of news that matters to them? Obviously, a lot of this conversation gets tangled up quite quickly in national politics and Trump and the election. And I don't think the Daily News story is about that. But one of the things I think we learned in that conversation is that a lot of the journalism that a lot of journalists were doing, which is about the sort of horse race of politics or the sort of process of politics wasn't really what people wanted to read. I mean, they wanted to read about taxes. They wanted to read about health care. They wanted to read about school policy. And those stories weren't being done. So I think there's some fault in a very broad way in terms of what people are writing about. But this is the case that we now have to engage in.","What about all of the new digital news sites that seem to be popping up everywhere? Because it does feel like there are an awful lot of sources of news these days, and many of them are trying to be these hyper-local sources of information that are supposed to fill the void when local papers shut down. Are they not cutting it?"
"So certainly the longer this goes on, the greater the concerns that it could drag in more tribes and more men into this conflict and spread beyond that northern district of Hassiba(ph). There have been attempts at tribal mediation, which went rather wrong. Yesterday when the house of Sadek al-Ahmar, where the mediation was going on, came under attack and mortar fire left several of those tribal mediators - and they were prominent sheiks - injured, and reports that even that some of them have been killed.",What is at stake in the region if this power struggle continues?
"Twenty years ago, when I was a young professor about to teach a course on African-American fiction, I set about to find a forgotten or undiscovered classic by a woman writer. I wanted a book that would hold its own against such urban classics as ""Invisible Man"" or ""Native Son,"" an older book that would complement the newer works by Toni Morrison and Alice Walker or the recently republished novels of Zora Neale Hurston. What I discovered was Ann Petry's magnificent 1946 novel ""The Street"". Described by some as an urban ""To Kill a Mockingbird,"" minus any redemption and hope, ""The Street"" tells the story of Lutie Johnson and her 8-year-old son during the last years of the Second World War. Lutie is a young, hard-working single mother in urban America trying to get ahead in a world that ignores and exploits her. I saw her struggles and determination as both inspiring and doomed. In striving to provide for her son's future, she often ignored his immediate needs and fears. This book shook me so much that whenever I taught it in class, later that night I would slip into my sleeping sons' bedrooms to watch them and make silent promises. Even now, whenever I finish it, I calculate how old the main character's son would be and wonder what sort of life he had. I care deeply about these characters. They are real to me. This book creates a lot of discussion, often uncomfortable, in my literature classes. It makes us confront difficult questions about race and class. Who has access to the American Dream? Why do some characters make it but Lutie doesn't? Petry wants her readers to see the two sides of America, the gleaming and moneyed suburbs, where she herself was raised, and the struggles of black women in Harlem where she moved after her marriage. ""The Street"" is a book that raises passion in readers, and in me. It is as relevant today as when it was written in the 1940s. Particularly now, with the upcoming presidential election, it makes us think about what it was like to be a single mother raising a black son to believe he was worthy of all the best this country can offer. I can't think of a better place to start a national discussion about the audacity of hope than with this undiscovered classic, as fresh and moving now as the day it was published.","Gretchen Holbrook Gerzina is a professor of literature at Dartmouth College. She is also the author of ""Mr. and Mrs. Prince"", how an extraordinary 18th century family moved out of slavery and into legend. For more great book recommendations, you can visit our Web site at npr.org/books. President Bush is on the last leg of his last trip to Europe. He's in London today talking with British Prime Minister Gordon Brown about the war in Iraq and Iran's nuclear program. The trip has all the trappings of a state visit; formal banquet, tea with the Queen, but long-time NPR White House correspondent Don Gonyea says this trip just feels different. Don, how?"
Thank you very much.,"You're the head of the U.S. delegation at six party talks on the North Korean nuclear program, and I wonder, first, we heard President Bush earlier today saying that the transfer of nuclear weapons or material by North Korea to states or to non-state enemies would be considered a grave threat. North Korea would be held fully accountable. What does that mean?"
Hi.,So it seems like there's not a lot of good news coming out of Rio these days. What's going on?
"There were 9,000 people. I've never seen so many bikes in one location. Just phenomenal.",Nine thousand?
"Well, it was helpful to me, and I had even more fun writing ""Heat"" than I had writing ""Cold.""",Why? What's fun about heat that's not about cold?
"Things have improved since the first early weeks when people didn't have toilets, when there wasn't any water. But things haven't significantly improved in recent months. Things are pretty much at a plateau. People are living in tents, they're living under tarps, they're living in just shacks that they constructed out of whatever they could pull together and a lot of people are just stuck at sort of that level. There are some organized camps which are somewhat better in that they're all the same type of tents - they're better tents, they're stronger - but then they were trying to evacuate one of those during this approaching hurricane because it was on a flood plain and there was concerns and that turned into complete chaos as some people wanted to be evacuated, some people felt it was a trick. So things remain incredibly tenuous for people. People feel incredibly vulnerable and there's a sense that things aren't moving forward, that they're just stuck in these camps and it's unclear when they're going to get out.","Well, what are the signs of rebuilding in Haiti and Port-au-Prince specifically?"
"Yes, yes.",You requested an additional $7.5 billion in aid for the Virgin Islands. What efforts would that money go toward?
Good morning.,"So just put this in perspective for us, this moment. What is the meaning of this verdict?"
